STORECODE|STORENAME|BRAND|ZONE|REGION|DISTRICT|STORETYPE|STORESTATUS|CITY|STATE
TMW_5439|#5439 Totowa Route 46 East|TMW|TMW_N|TMW_N4|TMW_N405|Brick & Mortar|Open|Totowa|NJ
TMW_2272|#2272Vintage Fair Village|TMW|TMW_W|TMW_W1|TMW_W101|Brick & Mortar|Open|Modesto|CA
TMW_5132|#5132 Target/Lowes Plaza|TMW|TMW_N|TMW_N3|TMW_N303|Brick & Mortar|Open|South Windsor|CT
TMW_1802|#1802South Center Crossing Shopping Center|TMW|TMW_W|TMW_W3|TMW_W301|Brick & Mortar|Open|Missoula|MT
TMW_1245|#1245Central Plaza Shopping Center|TMW|TMW_S|TMW_S5|TMW_S507|Brick & Mortar|Open|Lubbock|TX
TMW_5211|#5211Springfield Square|TMW|TMW_N|TMW_N4|TMW_N406|Brick & Mortar|Open|Springfield|PA
TMW_2303|#2303Escondido Promenade|TMW|TMW_W|TMW_W1|TMW_W105|Brick & Mortar|Open|Escondido|CA
TMW_2310|#2310Encinitas Ranch Town Center|TMW|TMW_W|TMW_W1|TMW_W105|Brick & Mortar|Open|Encinitas|CA
TMW_2726|#2726Village At Moorpark|TMW|TMW_W|TMW_W1|TMW_W102|Brick & Mortar|Open|Thousand Oaks|CA
TMW_3117|#3117Riverside Crossing|TMW|TMW_S|TMW_S4|TMW_S406|Brick & Mortar|Open|Macon|GA
TMW_4303|#4303Castleton Place|TMW|TMW_S|TMW_S3|TMW_S302|Brick & Mortar|Open|Indianapolis|IN
TMW_3230|#3230Concord Mills|TMW|TMW_S|TMW_S1|TMW_S101|Brick & Mortar|Open|Concord|NC
TMW_2716|#2716South Lake Shopping Center|TMW|TMW_W|TMW_W1|TMW_W102|Brick & Mortar|Open|Pasadena|CA
TMW_5224|#5224Logan Town Center|TMW|TMW_N|TMW_N2|TMW_N202|Brick & Mortar|Open|Altoona|PA
TMW_1531|#1531Chenal Parkway|TMW|TMW_W|TMW_W2|TMW_W203|Brick & Mortar|Open|Little Rock|AR
TMW_3229|#3229Valley Hills Mall|TMW|TMW_S|TMW_S1|TMW_S101|Brick & Mortar|Open|Hickory|NC
TMW_3226|#3226 Anderson, Sc|TMW|TMW_S|TMW_S4|TMW_S402|Brick & Mortar|Open|Anderson|SC
TMW_3309|#3309 St. Petersburg, Fl|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|St Petersburg|FL
